Record ID,Store Name,Store Type,Street Number,Street Name,Additional Address,City,State,Zip Code,Zip4,County,Latitude,Longitude,Authorization Date,End Date
309052,ALEUTIAN COMMERCIAL CO INC  ,Large Grocery Store,100,MAIN ST, ,SAND POINT,AK,99661, ,ALEUTIANS EAST,55.30257,-160.4045,7/28/1993,7/11/2005
625183,Safeway 1834,Supermarket,82,Airport Beach Rd,,Unalaska,AK,99685,9800,ALEUTIANS WEST,53.87108,-166.5338,4/15/1999,
1389825,7-Eleven 15935B,Convenience Store,6689,Cold Harbor Rd,,Mechanicsville,VA,23111,3246,HANOVER,37.59034,-77.31805,12/31/2019,
258174,Walmart 2071,Super Store,8900,Old Seward Hwy, ,Anchorage,AK,99515, ,ANCHORAGE,61.14022,-149.8699,3/5/2002,
